Product_0993,Whse_J,Category_028,2012/7/27,100 
Product_0979,Whse_J,Category_028,2012/1/19,500 
Product_0979,Whse_J,Category_028,2012/2/3,500 
Product_0979,Whse_J,Category_028,2012/2/9,500 
Product_0979,Whse_J,Category_028,2012/3/2,500 
Product_0979,Whse_J,Category_028,2012/4/19,500 
Product_0979,Whse_J,Category_028,2012/6/5,500 
Product_0979,Whse_J,Category_028,2012/6/27,500 
Product_0979,Whse_J,Category_028,2012/7/23,500 
Product_0979,Whse_J,Category_028,2012/8/29,500 
Product_0979,Whse_J,Category_028,2012/8/29,500 
Product_0979,Whse_J,Category_028,2012/9/18,500 
Product_0979,Whse_J,Category_028,2012/10/11,500 
Product_0979,Whse_J,Category_028,2012/11/1,500 
Product_0979,Whse_J,Category_028,2012/11/29,500 
Product_0979,Whse_J,Category_028,2012/12/26,500 
Product_1159,Whse_J,Category_006,2012/1/6,50000 
Product_1159,Whse_J,Category_006,2012/1/18,100000 
Product_1159,Whse_J,Category_006,2012/2/2,50000 
Product_1159,Whse_J,Category_006,2012/2/22,50000 
Product_1159,Whse_J,Category_006,2012/3/2,50000 
Product_1159,Whse_J,Category_006,2012/3/9,50000 
Product_1159,Whse_J,Category_006,2012/3/23,50000 
Product_1159,Whse_J,Category_006,2012/4/6,50000 
Product_1159,Whse_J,Category_006,2012/4/16,50000 
Product_1159,Whse_J,Category_006,2012/5/7,50000 
Product_1159,Whse_J,Category_006,2012/4/17,50000 
Product_1159,Whse_J,Category_006,2012/5/30,50000 
Product_1159,Whse_J,Category_006,2012/6/20,50000 
Product_1159,Whse_J,Category_006,2012/6/29,50000 
Product_1159,Whse_J,Category_006,2012/7/9,50000 
Product_1159,Whse_J,Category_006,2012/7/17,50000 
Product_1159,Whse_J,Category_006,2012/7/30,50000 
Product_1159,Whse_J,Category_006,2012/8/27,50000 
Product_1159,Whse_J,Category_006,2012/7/31,50000 
Product_1159,Whse_J,Category_006,2012/8/6,50000 
Product_1159,Whse_J,Category_006,2012/9/4,50000 
Product_1159,Whse_J,Category_006,2012/9/18,50000 
Product_1159,Whse_J,Category_006,2012/8/30,50000 
Product_1159,Whse_J,Category_006,2012/8/30,50000 
Product_1159,Whse_J,Category_006,2012/9/12,50000 
Product_1159,Whse_J,Category_006,2012/9/25,50000 
Product_1159,Whse_J,Category_006,2012/10/1,100000 
Product_1159,Whse_J,Category_006,2012/10/10,50000 
Product_1159,Whse_J,Category_006,2012/10/18,100000 
Product_1159,Whse_J,Category_006,2012/10/25,50000 
Product_1159,Whse_J,Category_006,2012/11/1,50000 
Product_1938,Whse_J,Category_001,2012/6/6,4 
Product_1938,Whse_J,Category_001,2012/7/13,4 
Product_1938,Whse_J,Category_001,2012/12/13,4 
Product_1157,Whse_J,Category_006,2012/3/8,150000 
Product_1157,Whse_J,Category_006,2012/3/8,150000 
Product_1157,Whse_J,Category_006,2012/4/23,150000 
Product_1157,Whse_J,Category_006,2012/5/23,150000 
Product_1157,Whse_J,Category_006,2012/6/4,160000 
Product_1157,Whse_J,Category_006,2012/6/4,160000 
Product_1157,Whse_J,Category_006,2012/8/9,160000 
Product_1157,Whse_J,Category_006,2012/8/20,160000 
Product_1157,Whse_J,Category_006,2012/9/10,160000 
Product_1157,Whse_J,Category_006,2012/10/19,160000 
Product_1157,Whse_J,Category_006,2012/9/28,160000 
Product_1157,Whse_J,Category_006,2012/11/19,160000 
Product_1157,Whse_J,Category_006,2012/12/19,160000 
Product_1234,Whse_J,Category_019,2012/4/25,1000 
Product_1451,Whse_J,Category_019,2012/1/12,1000 
Product_1274,Whse_J,Category_019,2012/1/16,1000 
Product_1274,Whse_J,Category_019,2012/1/24,1000 
Product_1274,Whse_J,Category_019,2012/1/24,1000 
Product_1512,Whse_J,Category_019,2012/1/25,20000 
Product_1512,Whse_J,Category_019,2012/2/1,20000 
Product_1512,Whse_J,Category_019,2012/2/15,20000 
Product_1274,Whse_J,Category_019,2012/1/31,1000 
Product_1274,Whse_J,Category_019,2012/2/7,1000 
Product_1274,Whse_J,Category_019,2012/2/13,1000 
Product_1274,Whse_J,Category_019,2012/2/15,1000 
Product_1274,Whse_J,Category_019,2012/2/21,2000 
Product_1451,Whse_J,Category_019,2012/2/28,1000 
Product_1274,Whse_J,Category_019,2012/3/6,1000 
Product_1274,Whse_J,Category_019,2012/3/12,1000 
Product_1512,Whse_J,Category_019,2012/3/21,20000 
Product_1274,Whse_J,Category_019,2012/3/27,1000 
Product_1512,Whse_J,Category_019,2012/3/27,20000 
Product_1512,Whse_J,Category_019,2012/3/30,10000 
Product_1512,Whse_J,Category_019,2012/3/30,10000 
Product_1512,Whse_J,Category_019,2012/4/12,30000 
Product_1512,Whse_J,Category_019,2012/4/20,20000 
Product_1274,Whse_J,Category_019,2012/4/2,1000 
Product_1274,Whse_J,Category_019,2012/4/9,1000 
Product_1451,Whse_J,Category_019,2012/4/23,1000 
Product_1512,Whse_J,Category_019,2012/4/27,20000 
Product_1512,Whse_J,Category_019,2012/5/23,40000 
Product_1274,Whse_J,Category_019,2012/5/1,1000 
Product_1274,Whse_J,Category_019,2012/5/22,1000 
Product_1451,Whse_J,Category_019,2012/5/29,1000 
Product_1274,Whse_J,Category_019,2012/6/4,1000 
Product_1512,Whse_J,Category_019,2012/6/15,30000 
Product_1512,Whse_J,Category_019,2012/6/20,30000 
Product_1512,Whse_J,Category_019,2012/7/4,30000 
Product_1274,Whse_J,Category_019,2012/6/19,1000 
Product_1451,Whse_J,Category_019,2012/6/26,1000 
Product_1274,Whse_J,Category_019,2012/6/27,1000 
Product_1274,Whse_J,Category_019,2012/7/4,1000 
Product_1512,Whse_J,Category_019,2012/7/23,30000 
Product_1512,Whse_J,Category_019,2012/8/3,30000 
Product_1512,Whse_J,Category_019,2012/8/22,30000 
Product_1274,Whse_J,Category_019,2012/7/24,1000 
Product_1451,Whse_J,Category_019,2012/7/24,1000 
Product_1274,Whse_J,Category_019,2012/8/7,1000 
Product_1274,Whse_J,Category_019,2012/8/21,1000 
Product_1274,Whse_J,Category_019,2012/8/28,1000 
Product_1274,Whse_J,Category_019,2012/9/3,1000 
Product_1451,Whse_J,Category_019,2012/9/10,1000 
Product_1512,Whse_J,Category_019,2012/9/12,60000 
Product_1512,Whse_J,Category_019,2012/9/25,30000 
Product_1512,Whse_J,Category_019,2012/10/11,30000 
Product_1274,Whse_J,Category_019,2012/9/25,1000 
Product_1451,Whse_J,Category_019,2012/10/9,1000 
Product_1274,Whse_J,Category_019,2012/10/12,1000 
Product_1274,Whse_J,Category_019,2012/10/16,1000 
Product_1274,Whse_J,Category_019,2012/11/6,1000 
Product_1512,Whse_J,Category_019,2012/11/14,30000 
Product_1512,Whse_J,Category_019,2012/11/22,30000 
Product_1512,Whse_J,Category_019,2012/12/12,30000 
Product_1512,Whse_J,Category_019,2012/12/27,30000 
Product_1451,Whse_J,Category_019,2012/12/3,1000 
Product_1274,Whse_J,Category_019,2012/12/18,1000 
Product_1970,Whse_J,Category_005,2012/2/7,28000 
Product_1970,Whse_J,Category_005,2012/3/1,4000 
Product_1970,Whse_J,Category_005,2012/3/22,28000 
Product_1970,Whse_J,Category_005,2012/3/22,9000 
Product_1970,Whse_J,Category_005,2012/4/18,4000 
Product_1970,Whse_J,Category_005,2012/4/23,2000 
Product_1970,Whse_J,Category_005,2012/5/2,1000 
Product_1970,Whse_J,Category_005,2012/5/22,23000 
Product_1970,Whse_J,Category_005,2012/5/23,1000 
Product_1970,Whse_J,Category_005,2012/5/30,1000 
Product_1970,Whse_J,Category_005,2012/6/11,26000 
Product_1970,Whse_J,Category_005,2012/6/27,1000 
Product_1970,Whse_J,Category_005,2012/7/23,35000 
Product_1970,Whse_J,Category_005,2012/7/23,2000 
Product_1970,Whse_J,Category_005,2012/7/23,36000 
Product_1970,Whse_J,Category_005,2012/7/26,2000 
Product_1970,Whse_J,Category_005,2012/7/31,1000 
Product_1970,Whse_J,Category_005,2012/8/6,15000 
Product_1970,Whse_J,Category_005,2012/8/21,7000 
Product_1970,Whse_J,Category_005,2012/9/18,42000 
Product_1970,Whse_J,Category_005,2012/9/6,45000 
Product_1970,Whse_J,Category_005,2012/9/24,1000 
Product_1970,Whse_J,Category_005,2012/10/12,16000 
Product_1970,Whse_J,Category_005,2012/10/15,2000 
Product_1970,Whse_J,Category_005,2012/10/23,2000 
Product_1970,Whse_J,Category_005,2012/11/20,1000 
Product_1970,Whse_J,Category_005,2012/11/15,2000 
Product_1970,Whse_J,Category_005,2012/11/29,3000 
Product_1970,Whse_J,Category_005,2012/12/19,1000 
Product_1970,Whse_J,Category_005,2012/12/19,2000 
Product_1372,Whse_J,Category_019,2012/1/6,600 
